"weeknumber","precipitation"
1215," 1.14"
1216," 2.29"
1217," 2.23"
1218," 2.78"
1219," 4.00"
1220," 1.46"
1221," 1.77"
1222," 2.61"
1223," 3.51"
1224," 2.96"
1225," 2.50"
1226," 5.33"
1227," 2.23"
1228," 1.56"
1229," 1.56"
1230," 5.16"
1231," 3.83"
1232," 3.94"
1233," 1.37"
1234," 2.50"
1235," 2.36"
1236," 2.25"
1237," 1.21"
1238," 4.42"
1239," 2.26"
1240," 2.62"
1241," 3.79"
1242," 1.64"
1243," 0.46"
1244," 5.67"
1245," 1.49"
1246," 3.38"
1247," 3.97"
1248," 2.56"
1249," 1.95"
1250," 2.57"
1251," 3.59"
1252," 3.28"
1253," 1.59"
1254," 2.04"
1255," 2.41"
1256," 4.74"
1257," 2.31"
1258," 1.14"
1259," 1.81"
1260," 3.58"
1261," 1.37"
1262," 3.55"
1263," 1.02"
1264," 2.33"
1265," 2.15"
1266," 4.41"
1267," 2.31"
1268," 1.84"
1269," 2.87"
1270," 2.34"
1271," 4.93"
1272," 4.29"
1273," 2.01"
1274," 2.20"
1275," 2.92"
1276," 4.44"
1277," 2.99"
1278," 1.85"
1279," 3.27"
1280," 1.94"
1281," 1.35"
1282," 2.27"
1283," 3.61"
1284," 1.79"
1285," 3.46"
1286," 3.22"
1287," 4.03"
1288," 1.11"
1289," 3.20"
1290," 2.56"
1291," 3.59"
1292," 2.78"
1293," 1.98"
1294," 3.22"
1295," 0.43"
1296," 2.54"
1297," 1.85"
1298," 4.14"
1299," 3.40"
1300," 1.34"
1301," 2.46"
1302," 1.81"
1303," 2.92"
1304," 1.39"
1305," 1.80"
1306," 4.38"
1307," 2.28"
1308," 3.60"
1309," 1.63"
1310," 1.55"
1311," 1.41"
1312," 2.14"
1313," 4.39"
1314," 1.79"
1315," 1.28"
1316," 3.07"
1317," 3.45"
1318," 2.69"
1319," 0.18"
1320," 3.24"
1321," 1.10"
1322," 1.62"
1323," 1.74"
1324," 0.95"
1325," 1.38"
1326," 3.21"
1327," 3.74"
1328," 3.10"
1329," 4.10"
1330," 1.44"
1331," 1.65"
1332," 1.83"
1333," 3.07"
1334," 4.66"
1335," 2.52"
1336," 2.17"
1337," 2.41"
1338," 3.24"
1339," 4.14"
1340," 3.15"
1341," 3.95"
1342," 3.68"
1343," 1.91"
1344," 1.15"
1345," 1.33"
1346," 2.82"
1347," 3.06"
1348," 1.08"
1349," 1.84"
1350," 2.51"
1351," 1.97"
1352," 2.62"
1353," 3.09"
1354," 2.69"
1355," 3.83"
1356," 1.89"
1357," 2.28"
1358," 2.24"
1359," 3.47"
1360," 2.44"
1361," 3.15"
1362," 2.04"
1363," 1.72"
1364," 5.03"
1365," 1.44"
1366," 5.70"
1367," 2.77"
1368," 2.24"
1369," 2.92"
1370," 2.89"
1371," 0.50"
1372," 2.13"
1373," 3.10"
1374," 1.95"
1375," 3.95"
1376," 1.65"
1377," 2.92"
1378," 0.36"
1379," 0.91"
1380," 2.50"
1381," 5.44"
1382," 3.25"
1383," 4.32"
1384," 2.35"
1385," 2.22"
1386," 2.53"
1387," 3.66"
1388," 1.90"
1389," 3.35"
1390," 0.81"
1391," 1.68"
1392," 2.09"
1393," 2.94"
1394," 3.61"
1395," 3.40"
1396," 1.31"
1397," 3.16"
1398," 1.44"
1399," 2.68"
1400," 1.06"
1401," 1.43"
1402," 1.22"
1403," 0.70"
1404," 3.40"
1405," 2.81"
1406," 2.77"
1407," 1.28"
1408," 2.54"
1409," 1.76"
1410," 1.84"
1411," 3.51"
1412," 1.51"
1413," 2.76"
1414," 2.30"
1415," 1.70"
1416," 1.20"
1417," 3.26"
1418," 2.74"
1419," 2.10"
1420," 2.16"
1421," 2.19"
1422," 3.91"
1423," 2.10"
1424," 0.53"
1425," 3.97"
1426," 1.24"
1427," 2.08"
1428," 0.84"
1429," 1.67"
1430," 1.76"
1431," 2.56"
1432," 1.57"
1433," 4.08"
1434," 2.03"
1435," 4.78"
1436," 3.44"
1437," 2.82"
1438," 1.61"
1439," 2.64"
1440," 4.59"
1441," 3.79"
1442," 4.30"
1443," 4.30"
1444," 3.37"
1445," 4.00"
1446," 4.40"
1447," 5.05"
1448," 5.68"
1449," 3.55"
1450," 2.72"
1451," 0.81"
1452," 0.23"
1453," 1.61"
1454," 5.49"
1455," 2.69"
1456," 3.70"
1457," 2.94"
1458," 4.69"
1459," 3.27"
1460," 3.48"
1461," 1.55"
1462," 2.68"
1463," 3.79"
1464," 1.93"
1465," 4.38"
1466," 0.92"
1467," 1.00"
1468," 0.74"
1469," 0.73"
1470," 0.48"
1471," 0.47"
1472," 2.23"
1473," 2.59"
1474," 2.43"
1475," 2.38"
1476," 2.62"
1477," 2.07"
1478," 0.17"
1479," 0.59"
1480," 4.34"
1481," 2.65"
1482," 1.34"
1483," 3.32"
1484," 3.15"
1485," 2.96"
1486," 2.13"
1487," 2.44"
1488," 2.01"
1489," 2.25"
1490," 2.66"
1491," 3.29"
1492," 2.83"
1493," 1.77"
1494," 4.30"
1495," 2.51"
1496," 3.52"
1497," 1.62"
1498," 6.20"
1499," 2.87"
1500," 2.80"
1501," 4.42"
1502," 1.72"
1503," 1.06"
1504," 1.99"
1505," 0.23"
1506," 0.83"
1507," 4.65"
1508," 1.88"
1509," 2.31"
1510," 2.59"
1511," 1.76"
1512," 2.04"
1513," 2.89"
1514," 3.63"
1515," 2.67"
1516," 2.25"
1517," 3.26"
1518," 1.37"
1519," 1.28"
1520," 1.18"
1521," 2.28"
1522," 2.07"
1523," 2.32"
1524," 1.92"
1525," 2.56"
1526," 3.25"
1527," 3.86"
1528," 4.53"
1529," 0.92"
1530," 3.68"
1531," 2.27"
1532," 3.40"
1533," 2.20"
1534," 2.94"
1535," 1.92"
1536," 2.24"
1537," 2.78"
1538," 2.71"
1539," 3.15"
1540," 1.06"
1541," 2.33"
1542," 1.66"
1543," 2.97"
1544," 4.14"
1545," 2.80"
1546," 2.39"
1547," 3.35"
1548," 3.50"
1549," 1.71"
1550," 5.60"
1551," 1.00"
1552," 1.22"
1553," 3.97"
1554," 3.71"
1555," 3.24"
1556," 2.83"
1557," 2.76"
1558," 2.57"
1559," 1.04"
1560," 3.09"
1561," 4.69"
1562," 1.99"
1563," 2.34"
1564," 2.65"
1565," 3.49"
1566," 0.35"
1567," 4.99"
1568," 1.39"
1569," 1.28"
1570," 0.71"
1571," 0.39"
1572," 1.50"
1573," 1.62"
1574," 1.14"
1575," 1.45"
1576," 2.10"
1577," 5.20"
1578," 1.21"
1579," 1.52"
1580," 4.31"
1581," 2.56"
1582," 0.89"
1583," 1.84"
1584," 1.77"
1585," 2.62"
1586," 0.78"
1587," 2.20"
1588," 3.84"
1589," 1.75"
1590," 3.40"
1591," 2.23"
1592," 2.97"
1593," 1.89"
1594," 4.15"
1595," 3.81"
1596," 5.08"
1597," 2.60"
1598," 3.17"
1599," 2.11"
1600," 2.91"
1601," 4.37"
1602," 3.93"
1603," 3.56"
1604," 3.82"
1605," 3.22"
1606," 1.64"
1607," 2.78"
1608," 4.17"
1609," 1.19"
1610," 2.68"
1611," 1.71"
1612," 0.90"
1613," 2.37"
1614," 2.66"
1615," 3.93"
1616," 1.92"
1617," 1.93"
1618," 1.67"
1619," 1.98"
1620," 0.94"
1621," 0.43"
1622," 0.91"
1623," 2.90"
1624," 3.71"
1625," 1.83"
1626," 2.85"
1627," 0.97"
1628," 0.95"
1629," 1.46"
1630," 0.99"
1631," 3.79"
1632," 1.73"
1633," 3.30"
1634," 2.18"
1635," 1.44"
1636," 1.69"
1637," 3.77"
1638," 0.27"
1639," 3.57"
1640," 2.52"
1641," 3.09"
1642," 3.63"
1643," 4.77"
1644," 2.78"
1645," 0.85"
1646," 1.51"
1647," 2.45"
1648," 2.77"
1649," 4.60"
1650," 4.11"
1651," 0.24"
1652," 2.65"
1653," 6.54"
1654," 4.23"
1655," 1.68"
1656," 3.35"
1657," 3.39"
